"НОМЕР ЗАЯВКИ","СТАТУС","ДАТА РЕГИСТРАЦИИ","ТИП ОБРАЩЕНИЯ","СЕРВИС","КРАТКОЕ ОПИСАНИЕ ПРОБЛЕМЫ","СРОК РЕШЕНИЯ","ПРОСРОЧЕН","ОБЩЕЕ ВРЕМЯ ОБРАБОТКИ (МИН.)","ГРУППА","ВРЕМЯ ОБРАБОТКИ ГРУППОЙ (МИН.)","КОЛ-ВО НАЗНАЧЕНИЙ НА ГРУППУ"
"TT16436005","Закрыта","27.07.2021 12:40:38","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 0:40:38","нет","128","OBO","128","1"
"TT16436011","Закрыта","27.07.2021 12:40:55","Администрирование","Администрирование B2B","Создание/Изменение/Отключение Корпоративной АТС","30.07.2021 20:40:55","нет","3517","Corp TOM","9","1"
"TT16436011","Закрыта","27.07.2021 12:40:55","Администрирование","Администрирование B2B","Создание/Изменение/Отключение Корпоративной АТС","30.07.2021 20:40:55","нет","3517","B2B Admin","3508","2"
"TT16436013","Закрыта","27.07.2021 12:41:01","Претензия","Wink","Обмен минут на кино","31.07.2021 12:41:01","нет","181","OBO","181","1"
"TT16436014","Закрыта","27.07.2021 12:41:06","Претензия","Сеть","Поиск сети","10.08.2021 12:41:06","нет","18751","OBO","18751","1"
"TT16436014","Закрыта","27.07.2021 12:41:06","Претензия","Сеть","Поиск сети","10.08.2021 12:41:06","нет","18751","Tech VRN","0","1"
"TT16436018","Закрыта","27.07.2021 12:41:09","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на номер телефона)","06.08.2021 12:41:09","нет","13369","OBO","13369","1"
"TT16436019","Закрыта","27.07.2021 12:41:11","Администрирование","Администрирование B2C","Переоформление на пользователя ф.л.","26.09.2021 12:41:11","нет","69370","BO MOS","69370","1"
"TT16436021","Закрыта","27.07.2021 12:41:20","Претензия","Технологическая заявка","Удержание MNP – проблемы с покрытием (интернет)","26.11.2021 4:41:20","нет","860","Technology TT","860","1"
"TT16436022","Закрыта","27.07.2021 12:41:21","Администрирование","Администрирование B2C","Корректировка регистрационных данных","29.07.2021 12:41:21","нет","1810","OBO","1810","1"
"TT16436023","Закрыта","27.07.2021 12:41:21","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 0:41:21","нет","171","OBO","171","1"
"TT16436024","Закрыта","27.07.2021 12:41:25","Претензия","NPS","Телефония - Шумы, помехи","27.07.2022 12:41:25","нет","860","NPS","860","1"
"TT16436029","Закрыта","27.07.2021 12:41:51","Претензия","CCB","Обратная связь на работу оператора КЦ","30.07.2021 12:41:51","нет","8604","Мониторинг","8604","1"
"TT16436031","Закрыта","27.07.2021 12:41:53","Претензия","В2В Личный кабинет","Проблема с отчетными документами","30.07.2021 12:41:53","нет","515","OBO","269","2"
"TT16436031","Закрыта","27.07.2021 12:41:53","Претензия","В2В Личный кабинет","Проблема с отчетными документами","30.07.2021 12:41:53","нет","515","WEB Support","246","1"
"TT16436033","Закрыта","27.07.2021 12:41:54","Администрирование","Администрирование B2B","Перенос денежных средств","28.07.2021 12:41:54","нет","265","CKBO B2B","265","1"
"TT16436036","Закрыта","27.07.2021 12:41:58","Администрирование","Администрирование B2C","Ошибочный наличный платёж","27.07.2021 20:41:58","нет","180","OBO","180","1"
"TT16436038","Закрыта","27.07.2021 12:41:59","Претензия","NPS","Передача данных - Низкая скорость","27.07.2022 12:41:59","нет","859","NPS","859","1"
"TT16436042","Закрыта","27.07.2021 12:42:12","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","01.08.2021 12:42:12","нет","587","OBO","587","1"
"TT16436049","Закрыта","27.07.2021 12:42:29","Претензия","Передача данных","Нет соединения 2G","30.07.2021 12:42:29","нет","3187","Tech KRA","14","1"
"TT16436049","Закрыта","27.07.2021 12:42:29","Претензия","Передача данных","Нет соединения 2G","30.07.2021 12:42:29","нет","3187","OBO","3173","2"
"TT16436050","Закрыта","27.07.2021 12:42:34","Администрирование","Администрирование B2C","Корректировка регистрационных данных","29.07.2021 12:42:34","нет","16","OBO","16","1"
"TT16436062","Закрыта","27.07.2021 12:43:04","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (перевод на номер телефона)","06.08.2021 12:43:04","нет","13378","OBO","13378","1"
"TT16436065","Закрыта","27.07.2021 12:43:07","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 0:43:07","нет","140","OBO","140","1"
"TT16436071","Закрыта","27.07.2021 12:43:15","Претензия","CCB","Для Digital: помощь с заказом","28.07.2021 12:43:15","нет","1312","E-Shop","1312","1"
"TT16436097","Закрыта","27.07.2021 12:43:54","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","26.11.2021 4:43:53","нет","858","Technology TT","858","1"
"TT16436098","Закрыта","27.07.2021 12:43:54","Администрирование","Администрирование B2C","Корректировка регистрационных данных","29.07.2021 12:43:54","нет","2773","OBO","2773","1"
"TT16436099","Закрыта","27.07.2021 12:43:56","Претензия","Технологическая заявка","Низкая скорость передачи данных","26.11.2021 4:43:56","нет","858","Technology TT","858","1"
"TT16436100","Закрыта","27.07.2021 12:43:56","Претензия","Технологическая заявка","Удержание MNP - проблемы с покрытием (сеть)","26.11.2021 4:43:56","нет","858","Technology TT","858","1"
"TT16436106","Закрыта","27.07.2021 12:44:16","Администрирование","Администрирование B2C","Перечисление на банковские реквизиты","11.08.2021 12:44:16","нет","12973","BO MOS","12973","1"
"TT16436108","Закрыта","27.07.2021 12:44:26","Администрирование","Администрирование B2B","Подключение услуги РТК ШПД","20.08.2021 12:44:26","нет","956","CKBO B2B","4","1"
"TT16436108","Закрыта","27.07.2021 12:44:26","Администрирование","Администрирование B2B","Подключение услуги РТК ШПД","20.08.2021 12:44:26","нет","956","Corp KYA-ETK","952","1"
"TT16436109","Закрыта","27.07.2021 12:44:28","Претензия","CCB","Жалоба на сотрудника телемаркетинга","28.07.2021 12:44:28","нет","857","Technology TT","857","1"
"TT16436110","Закрыта","27.07.2021 12:44:37","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (без перечисления)","06.08.2021 12:44:37","нет","14164","OBO","14164","1"
"TT16436112","Закрыта","27.07.2021 12:44:44","Администрирование","Администрирование B2C","Корректировка регистрационных данных","29.07.2021 12:44:44","нет","2722","OBO","2722","1"
"TT16436113","Закрыта","27.07.2021 12:44:51","Претензия","NPS","Передача данных - Низкая скорость","27.07.2022 12:44:51","нет","857","NPS","857","1"
"TT16436114","Закрыта","27.07.2021 12:45:13","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 0:45:13","нет","139","OBO","139","1"
"TT16436115","Закрыта","27.07.2021 12:45:18","Администрирование","Администрирование B2C","Переоформление номера с физ.лица на физ.лицо","01.08.2021 12:45:18","нет","1307","OBO","1307","1"
"TT16436116","Закрыта","27.07.2021 12:45:48","Администрирование","Администрирование B2C","Ошибочный наличный платёж","27.07.2021 20:45:48","нет","190","OBO","190","1"
"TT16436117","Закрыта","27.07.2021 12:45:51","Администрирование","Администрирование B2C","Ошибочный наличный платёж","27.07.2021 20:45:51","нет","190","OBO","190","1"
"TT16436118","Закрыта","27.07.2021 12:46:04","Претензия","NPS","Передача данных - Нет соединения","27.07.2022 12:46:04","нет","855","NPS","855","1"
"TT16436119","Закрыта","27.07.2021 12:46:08","Претензия","NPS","Передача данных - Низкая скорость","27.07.2022 12:46:08","нет","855","NPS","855","1"
"TT16436120","Закрыта","27.07.2021 12:46:19","Администрирование","Документация В2С","Копии документов для Tele2","30.07.2021 12:46:19","нет","37686","OBO","37686","1"
"TT16436121","Закрыта","27.07.2021 12:46:20","Претензия","NPS","Телефония - Сеть недоступна","27.07.2022 12:46:20","нет","855","NPS","855","1"
"TT16436122","Закрыта","27.07.2021 12:46:23","Претензия","Контент","Абонент ничего не заказывал","30.07.2021 0:46:23","нет","136","OBO","136","1"
"TT16436123","Закрыта","27.07.2021 12:46:27","Претензия","NPS","Передача данных - Низкая скорость","27.07.2022 12:46:27","нет","855","NPS","855","1"
"TT16436125","Закрыта","27.07.2021 12:46:35","Претензия","Технологическая заявка","Низкая скорость передачи данных","26.11.2021 4:46:35","нет","855","Technology TT","855","1"
"TT16436128","Закрыта","27.07.2021 12:46:58","Претензия","Проблема с SPR","Отсутствуют услуги в профиле","31.07.2021 12:46:58","нет","2967","NPD_CC_PCI_troubles","1201","1"
"TT16436128","Закрыта","27.07.2021 12:46:58","Претензия","Проблема с SPR","Отсутствуют услуги в профиле","31.07.2021 12:46:58","нет","2967","OBO","1567","3"
"TT16436128","Закрыта","27.07.2021 12:46:58","Претензия","Проблема с SPR","Отсутствуют услуги в профиле","31.07.2021 12:46:58","нет","2967","Billing Support","199","1"
"TT16436129","Закрыта","27.07.2021 12:47:03","Администрирование","Администрирование B2C","Изменение статуса SIM: закрытие (без перечисления)","06.08.2021 12:47:03","нет","13380","OBO","13380","1"
"TT16436130","Закрыта","27.07.2021 12:47:19","Претензия","Сеть","Поиск сети","30.07.2021 12:47:19","нет","3227","Tech MOS","8","1"
"TT16436130","Закрыта","27.07.2021 12:47:19","Претензия","Сеть","Поиск сети","30.07.2021 12:47:19","нет","3227","Tech MOS SWS","1508","1"
"TT16436130","Закрыта","27.07.2021 12:47:19","Претензия","Сеть","Поиск сети","30.07.2021 12:47:19","нет","3227","OBO","1711","1"
"TT16436131","Закрыта","27.07.2021 12:47:23","Претензия","Технологическая заявка","Удержание MNP – Отмена переноса номера по желанию абонента (внутренний MNP)","26.11.2021 4:47:23","нет","854","Technology TT","854","1"
